candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,selection_objective
reconstruction_w8_c1.0_step0,rtn_fallback,reconstruction,8,1.0,0,57.079833984375,0.9997356534004211,53.20294952392578,52.35723114013672,0.0,2.3042802979489354e-06,True,3.0519668321460357e-07,2.3042802979489354e-06
reconstruction_w8_c1.0_step100,reconstruction,reconstruction,8,1.0,100,57.0281867980957,0.9997356534004211,53.01832962036133,52.515506744384766,0.0,2.294716804840391e-06,True,3.0354662925446976e-07,2.294716804840391e-06
reconstruction_w8_c1.0_step200,reconstruction,reconstruction,8,1.0,200,57.06727981567383,0.9997396469116211,53.18885040283203,52.62982940673828,0.0,2.260233142692414e-06,True,2.9614943990452504e-07,2.260233142692414e-06
reconstruction_w8_c1.0_step300,reconstruction,reconstruction,8,1.0,300,57.01182174682617,0.9997355341911316,53.38223648071289,52.76456832885742,0.0,2.2654594658888526e-06,True,3.2321148069058836e-07,2.2654594658888526e-06
reconstruction_w8_c1.0_step400,reconstruction,reconstruction,8,1.0,400,57.071075439453125,0.9997262954711914,53.368919372558594,52.82124328613281,0.0,2.237700940099785e-06,True,3.2554354874037016e-07,2.237700940099785e-06
reconstruction_w8_c1.0_step500,reconstruction,reconstruction,8,1.0,500,57.15325164794922,0.9997361898422241,53.495487213134766,52.931304931640625,0.0,2.190987515859888e-06,True,3.0656583405175297e-07,2.190987515859888e-06
reconstruction_w8_c1.0_step600,reconstruction,reconstruction,8,1.0,600,57.15550994873047,0.9997331500053406,53.647640228271484,52.97446823120117,0.0,2.1845611627213656e-06,True,3.15855512766916e-07,2.1845611627213656e-06
reconstruction_w8_c1.0_step700,reconstruction,reconstruction,8,1.0,700,57.15831756591797,0.9997321367263794,53.67982864379883,53.020172119140625,0.0,2.176092857553158e-06,True,3.079978483810919e-07,2.176092857553158e-06
reconstruction_w8_c1.0_step800,reconstruction,reconstruction,8,1.0,800,57.203086853027344,0.9997328519821167,53.66376495361328,53.043792724609375,0.0,2.1596576630145136e-06,True,3.0189267263835973e-07,2.1596576630145136e-06
reconstruction_w8_c1.0_step900,reconstruction,reconstruction,8,1.0,900,57.1186637878418,0.9997231364250183,53.599151611328125,53.00035858154297,0.0,2.196642896024059e-06,True,3.2835137933062695e-07,2.196642896024059e-06
reconstruction_w8_c1.0_step1000,reconstruction,reconstruction,8,1.0,1000,57.16930389404297,0.9997356534004211,53.70436477661133,53.00543975830078,0.0,2.1689867566010433e-06,True,3.1225818837299356e-07,2.1689867566010433e-06
