candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,selection_objective
reconstruction_w4_c1.0_step0,rtn_fallback,reconstruction,4,1.0,0,33.350563049316406,0.943604588508606,29.569313049316406,28.79359245300293,0.0,0.0005406601558206603,True,8.52526811286225e-05,0.0005406601558206603
reconstruction_w4_c1.0_step100,reconstruction,reconstruction,4,1.0,100,36.6774787902832,0.9684388041496277,32.489044189453125,31.47930908203125,0.0,0.00025877741099975535,True,1.4880249887028186e-05,0.00025877741099975535
reconstruction_w4_c1.0_step200,reconstruction,reconstruction,4,1.0,200,36.26906967163086,0.9698382616043091,32.40251159667969,31.592615127563477,0.0,0.0002785838249110384,True,4.294732798371115e-05,0.0002785838249110384
reconstruction_w4_c1.0_step300,reconstruction,reconstruction,4,1.0,300,36.21025085449219,0.9710053205490112,32.57867431640625,31.74239158630371,0.0,0.00027195479160582183,True,4.021572585770628e-05,0.00027195479160582183
reconstruction_w4_c1.0_step400,reconstruction,reconstruction,4,1.0,400,37.08990478515625,0.9726436734199524,32.97188186645508,31.968753814697266,0.0,0.00023409303139487747,True,1.670388433012704e-05,0.00023409303139487747
reconstruction_w4_c1.0_step500,reconstruction,reconstruction,4,1.0,500,37.49034881591797,0.9737101793289185,33.14845657348633,32.2291259765625,0.0,0.00021728809697378891,True,1.065772135007137e-05,0.00021728809697378891
reconstruction_w4_c1.0_step600,reconstruction,reconstruction,4,1.0,600,37.1298713684082,0.9732325673103333,32.7481689453125,32.126399993896484,0.0,0.000230178419224103,True,1.937041606652201e-05,0.000230178419224103
reconstruction_w4_c1.0_step700,reconstruction,reconstruction,4,1.0,700,37.44259262084961,0.9739246368408203,33.22430419921875,32.134620666503906,0.0,0.0002171287651435705,True,1.2153684497206996e-05,0.0002171287651435705
reconstruction_w4_c1.0_step800,reconstruction,reconstruction,4,1.0,800,37.438045501708984,0.9743850827217102,33.17713165283203,32.286521911621094,0.0,0.00021623430584440939,True,1.2984898444301506e-05,0.00021623430584440939
reconstruction_w4_c1.0_step900,reconstruction,reconstruction,4,1.0,900,37.59001159667969,0.9747344851493835,33.43049240112305,32.44425964355469,0.0,0.00021003061956434977,True,1.0895164632529485e-05,0.00021003061956434977
reconstruction_w4_c1.0_step1000,reconstruction,reconstruction,4,1.0,1000,37.561607360839844,0.9744745492935181,33.223445892333984,32.328407287597656,0.0,0.00021193117972870824,True,1.2263001087831071e-05,0.00021193117972870824
