candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,selection_objective
reconstruction_w4_c1.0_step0,rtn_fallback,reconstruction,4,1.0,0,33.350563049316406,0.943604588508606,29.569313049316406,28.79359245300293,0.0,0.0005406601558206603,True,8.52526811286225e-05,0.0005406601558206603
reconstruction_w4_c1.0_step100,reconstruction,reconstruction,4,1.0,100,36.04133987426758,0.9680362939834595,32.46338653564453,31.42839241027832,0.0,0.00028832023599534295,True,4.2626892445696284e-05,0.00028832023599534295
reconstruction_w4_c1.0_step200,reconstruction,reconstruction,4,1.0,200,36.758209228515625,0.9706403613090515,32.732566833496094,31.75183868408203,0.0,0.000252041059138719,True,2.1967239990772214e-05,0.000252041059138719
reconstruction_w4_c1.0_step300,reconstruction,reconstruction,4,1.0,300,36.34394073486328,0.9709464907646179,32.67652130126953,31.81560516357422,0.0,0.0002662602768396027,True,3.331023112878029e-05,0.0002662602768396027
reconstruction_w4_c1.0_step400,reconstruction,reconstruction,4,1.0,400,36.84810256958008,0.9723475575447083,32.725120544433594,31.90779685974121,0.0,0.00024665449309395625,True,2.2300093405647203e-05,0.00024665449309395625
reconstruction_w4_c1.0_step500,reconstruction,reconstruction,4,1.0,500,37.18050003051758,0.9732866287231445,33.08919143676758,32.16839599609375,0.0,0.00022919236871530302,True,1.6026105413402547e-05,0.00022919236871530302
reconstruction_w4_c1.0_step600,reconstruction,reconstruction,4,1.0,600,37.41204833984375,0.9738628268241882,33.24342346191406,32.321781158447266,0.0,0.00021890096304559846,True,1.2941051386405888e-05,0.00021890096304559846
reconstruction_w4_c1.0_step700,reconstruction,reconstruction,4,1.0,700,37.31514358520508,0.9734885096549988,32.981292724609375,32.2923698425293,0.0,0.00022306708378891927,True,1.4279125161920092e-05,0.00022306708378891927
reconstruction_w4_c1.0_step800,reconstruction,reconstruction,4,1.0,800,37.39440155029297,0.973504364490509,33.159976959228516,32.26250457763672,0.0,0.00021954878357064445,True,1.3239425720712461e-05,0.00021954878357064445
reconstruction_w4_c1.0_step900,reconstruction,reconstruction,4,1.0,900,37.270606994628906,0.9733403325080872,33.134098052978516,32.264095306396484,0.0,0.0002238966630102368,True,1.43169805596699e-05,0.0002238966630102368
reconstruction_w4_c1.0_step1000,reconstruction,reconstruction,4,1.0,1000,37.539100646972656,0.9743531346321106,33.23773956298828,32.300079345703125,0.0,0.0002133282116119517,True,1.1434541261223784e-05,0.0002133282116119517
